MMSI,IMO,CallSign,Name,VesselType,Length,Width,DimensionComponents
367324840,0,WDE2412,MARY ROSE,31,20,5,"5,15,3,2"
316005721,8703218,,C.H. CATES I,52,17,7,"8,9,4,3"
366999892,0,,CG47267,51,17,6,"11,6,3,3"
567019000,8223335,HSRO,WORADA NAREE,79,161,25,"132,29,8,17"
366993010,0,WTH4325,WESTRAC,52,23,6,"12,11,3,3"
316005723,9039987,,C.H. CATES III,52,18,8,"9,9,4,4"
366800090,303174162,WDA3596,ISL BREEZE,31,19,7,"0,19,0,7"
256925000,8204509,9HFT9,APHRODITE I,79,230,32,"177,53,10,22"
351223000,9238519,H9LY,CONTINENTAL HIGHWAY,70,199,32,"47,152,12,20"
353507000,9325116,3EGO6,NEW CREATION,70,176,28,"150,26,9,19"
316005728,0,,C.H. CATES VIII,52,22,9,"8,14,7,2"
366961020,0,WDB8572,KELLY MAE,90,45,10,"21,24,9,1"
366881780,989458,WDB2957,STEADFAST,37,32,8,"17,15,4,4"
636012825,9298545,A8IC6,M/V SANKO TITAN,70,183,32,"158,25,20,12"
303031000,9244063,WAZV,POLAR ADVENTURE,80,273,46,"230,43,38,8"
366947620,0,WYE6753,LULU BELLE,60,26,6,"13,13,4,2"
636012628,9301732,A8GQ9,ICE ENERGY,80,228,32,"191,37,20,12"
369493484,0,,CG BLUEBELL,0,30,7,"12,18,5,2"
368992000,7303205,NAMW,ALGOL,79,284,33,"44,240,10,23"
354969000,9243693,H9LM,IVS HUNTER,70,177,29,"155,22,14,15"
367086110,515015,WDC8377,BLACKHAWK,52,45,10,"5,40,5,5"
367002220,0,WDC3068,DORINE BRUSCO,52,36,9,"10,26,4,5"
367307580,7417240,WDD9152,BARENTS SEA,31,0,0,"0,0,0,0"
366046000,7334826,WNBG,NORTHERN JAEGER,30,106,14,"91,15,7,7"
366433000,9930,WDB9466,SIBERIAN SEA,0,37,10,"30,7,3,7"
367090880,0,WDC8654,SEGUE,37,17,6,"10,7,3,3"
235011630,9305673,MNWF6,HYUNDAI TOKYO,71,304,40,"228,76,17,23"
367003250,0,WCW6340,SARAH REED,52,19,8,"7,12,3,5"
370016000,9445136,3ERD7,CLIPPER IMABARI,70,169,27,"144,25,19,8"
366804620,0,WDA3996,EXCALIBUR,30,19,9,"9,10,4,5"
366763440,481,WCY9453,Z FIVE,52,29,10,"8,21,7,3"
367125320,1201797,WCY2956,ESCAPE,37,40,8,"13,27,4,4"
316011649,7530054,CZ 8236,BURRARD BEAVER,60,34,12,"17,17,6,6"
366759530,0,WDE7328,GUIDE,52,34,12,"17,17,6,6"
368163000,8003149,WDB7879,TOBY TIDE,70,60,13,"10,50,9,4"
316013695,0,,MOOSE 62,35,30,8,"0,30,0,8"
367186000,7223505,NBXO,CAPELLA,70,292,53,"219,73,32,21"
366793590,0,WDA3003,TUG HERO,52,19,6,"0,19,0,6"
367717000,0,WYC8626,NORTH CAPE,0,38,11,"32,6,7,4"
367368170,0,WDE5536,SONJA H,31,19,7,"3,16,5,2"
356145000,9328728,H9JT,CELESTIAL WING,70,180,30,"21,159,9,21"
338894000,8108078,WDB7686,SEA TIDE,0,0,0,"0,0,0,0"
366976910,7308762,WYZ2037,SHELLEY FOSS,32,27,10,"8,19,4,6"
367349770,0,WDE4178,POINT FERMIN,31,32,10,"10,22,5,5"
366238000,7408093,WSNB,SIERRA,80,264,44,"226,38,22,22"
316001254,320068,VCNX,QUEEN OF NANAIMO,69,130,24,"17,113,16,8"
366773050,8836132,WTQ6960,EVERGREEN STATE,60,90,23,"22,68,10,13"
316001245,370066,CZ8100,QUEEN OF ALBERNI,60,139,27,"49,90,11,16"
367309350,764362900,WDD9280,PACIFIC   PRIDE,52,28,8,"8,20,3,5"
371716000,9309617,3EDT6,BLUE BAIE,71,171,26,"146,25,8,18"
367131510,213986,WDD3449,AMAK,0,19,6,"4,15,3,3"
371161000,9296781,3EBL8,RAMADA QUEEN,70,183,30,"155,28,11,19"
367183360,32,WDD7216,OLYMPIC   SCOUT,31,0,0,"0,0,0,0"
366789390,0,WAA6309,SKAGIT WSF,60,35,16,"12,23,8,8"
366221000,7390117,WLDL,CAPE INTREPID,70,209,31,"155,54,15,16"
366951180,0,WDB7995,CHINOOK,50,22,8,"12,10,4,4"
636010365,9116644,ELSL7,PACIFIC ACADIAN,70,190,32,"166,24,21,11"
311349000,9226035,C6SI3,WESTWOOD.RAINIER,70,200,31,"179,21,16,15"
366710170,8978485,WDA8288,NRC COLUMBIA,54,35,8,"8,27,3,5"
367130000,7738474,KVWA,PACIFIC COLLECTOR,35,120,15,"30,90,9,6"
367085890,303174162,WDC8364,BERNICE LIND,31,18,7,"0,18,0,7"
316113000,0,CGAV,HMCS NANAIMO,0,55,11,"0,55,0,11"
235479000,9241322,VSXV3,HATSU EXCEL,70,300,43,"211,89,21,22"
316005175,0,CG2436,PACIFIC PILOT TWO,0,0,0,"0,0,0,0"
367083650,0,WDC8229,HARVESTOR,30,36,8,"24,12,4,4"
366526010,0,WCB2581,NORTHSEA,30,42,10,"12,30,5,5"
369113000,8908088,WAHF,AMTERN,70,162,23,"128,34,11,12"
366999909,0,,CG25517,51,8,3,"5,3,2,1"
3160089,0,VX9DHX,SPERRY MARINE,90,180,20,"90,90,10,10"
366207650,0,WAZ5266,PACIFIC,0,22,9,"14,8,5,4"
353285000,9316969,3EFD4,GLOBAL PROSPERITY,70,170,28,"146,24,19,9"
303668000,9398474,WDD2703,GULF RELIANCE,32,205,22,"180,25,11,11"
369190000,6710932,WDA9674,MT.MITCHELL,99,180,20,"90,90,10,10"
369500000,5072905,WDE6262,PATRICIA S,32,0,0,"0,0,0,0"
366763430,1072783,WCY9452,Z FOUR,52,29,10,"12,17,7,3"
367042920,0,WDC5558,JULIUS BRUSCO,31,27,9,"10,17,4,5"
316005612,5113163,VG8601,SMIT PRINCESS,52,27,8,"7,20,4,4"
367891000,9207948,WDA9649,SANTA CRUZ,70,64,14,"15,49,8,6"
367389840,0,WDE7163,DREDGE EINAR,90,36,16,"27,9,10,6"
636013627,8005771,A8OH6,CHAMPION ADRIATIC,80,171,30,"134,37,15,15"
366962910,703246,WZS7556,AMERICAN EAGLE,52,34,10,"0,34,0,10"
372506000,9304370,3EJF9,TAI HONESTY,70,190,32,"164,26,16,16"
367013040,0,WCW5448,GOODTIME II,60,25,8,"12,13,3,5"
366971280,0,WCX9251,BAY BREEZE,40,30,70,"10,20,30,40"
366980250,0,WCP9410,BRIAN S,31,33,10,"13,20,2,8"
355696000,9254252,HOOK,GINGA MERLIN,80,148,24,"120,28,17,7"
316011982,0,PENDING,PACIFIC NAVIGATOR,50,20,6,"9,11,3,3"
565715000,9278650,9VFG6,CHEMBULK HONGKONG,80,175,28,"148,27,21,7"
316003664,0,,COMOX CROWN,52,21,8,"10,11,3,5"
538002635,9354832,V7KK6,IRON KALYPSO,70,229,31,"203,26,20,11"
366757740,0,WCY7481,PETER  M.,52,27,10,"27,0,10,0"
316001247,812656,VY9513,QUEEN OF CAPILANO,60,0,0,"0,0,0,0"
368272000,7390428,KZAG,AMERICAN DYNASTY,30,30,70,"10,20,30,40"
366732940,0,,,0,0,0,"0,0,0,0"
367331730,0,WDE2933,COLUMBIA,50,23,7,"10,13,4,3"
477240700,9287455,VRZZ2,DARYA SHREE,70,225,32,"202,23,8,24"
367309440,7729526,WDD9287,SEA HAWK,32,17,8,"5,12,3,5"
352023000,9159440,3FEA8,GLOBAL PRESTIGE,79,154,26,"129,25,18,8"
366172000,0,WDD6422,OCEAN PROWLER,47,46,10,"24,22,3,7"
367176270,7908122,WDD6688,NORSEMANII,0,30,10,"10,20,5,5"
367033060,0,WCR9441,ALEUTIAN BALLAD,30,36,9,"32,4,2,7"
366772980,0,WYR3421,WSF KITSAP,60,100,24,"20,80,14,10"
366994690,1,WDC2550,SOUTHERN CROSS,52,25,8,"0,25,0,8"
366763770,0,WCY9596,ARIES,52,24,7,"13,11,5,2"
367137370,0,WDD3872,JIM MOORE,31,21,7,"6,15,4,3"
367705000,555403,WRC8689,ROLLO,30,32,10,"10,22,5,5"
366951730,0,WSX6846,JEFFREY M,52,26,8,"17,9,4,4"
367083670,0,WDC8230,ISLANDER,60,31,10,"10,21,3,7"
367039250,0,WDC5313,BETSY L,52,23,8,"9,14,5,3"
366563000,7907996,WHRN,MAHIMAHI,70,262,32,"31,231,16,16"
357802000,9181479,3FTO9,GRAND QUEST,90,179,32,"51,128,10,22"
366998420,0,WCZ2547,DELTALINDA,52,33,13,"12,21,8,5"
367153930,0,WDD5515,STEILACOOM 2,60,66,20,"35,31,12,8"
351042000,9047051,3EGG6,POWER LOONG,79,215,32,"195,20,12,20"
366772790,0,WB6079,RHODODENDRON WSF,60,69,19,"17,52,12,7"
367309430,7404047,WDD9286,PACIFIC WOLF,31,37,11,"8,29,8,3"
370087000,9445069,3ERL,INFINITY RIVER,70,169,28,"146,23,19,9"
316001234,801691,CY3842,HOWE SOUND QUEEN,60,80,20,"40,40,10,10"
316005625,0,,TIGER SHARK 2,52,15,6,"4,11,3,3"
477071400,9381756,VRDX6,ATLANTIC AQUARIUS,80,183,20,"149,34,11,9"
368478000,8333025,WTW9262,ROUGHNECK,52,36,10,"6,30,4,6"
316005623,8953540,,TIGER SUN,52,22,10,"10,12,4,6"
316001349,0,CZ 8755,ISLAND DEFENDER,52,21,7,"9,12,3,4"
316010598,830753,CFG7532,FLEET,37,20,6,"15,5,3,3"
316001269,9030682,CFL2070,SPIRIT OF VI,69,168,27,"47,121,14,13"
357435000,9331907,3EGP9,AOYAMA,70,190,32,"160,30,20,12"
367399170,0,,NACHIK,31,23,10,"10,13,5,5"
366926730,0,WCD9794,LUCY FRANCO,31,18,9,"3,15,3,6"
367354000,0,WCW9002,ALASKA ROSE,30,42,12,"15,27,6,6"
366888800,0,WDE7327,TIOGA,52,30,12,"11,19,8,4"
355170000,9270907,HPOA,IRENE OLDENDORFF,70,177,28,"149,28,8,20"
316003483,0,CY8968,ARCTIC TAGLU,52,33,10,"18,15,4,6"
316011746,0,,MV SEA IMP XII,57,7,11,"4,3,3,8"
316001255,322953,VDQQ,QUEEN OF NEW WEST.,60,0,0,"0,0,0,0"
356725000,9266138,HOVC,CS.GREEN,77,169,28,"155,14,15,13"
366980260,0,WCY2055,PACIFIC FALCON,31,72,20,"36,36,10,10"
303509000,8949472,WDD5898,SPIRIT  OF  YORKTOWN,69,0,0,"0,0,0,0"
366808000,8133059,WTH4389,ALASKA PACKER,30,100,16,"24,76,8,8"
309282000,9180114,C6QR8,SONANGOL  GIRASSOL,80,273,48,"235,38,25,23"
366969780,0,WV8240,BEARCAT,0,21,7,"0,21,0,7"
367018360,0,WDC4051,NUSHAGAK-SPIRIT,30,31,9,"3,28,7,2"
0,265,0,NORTHEAST PILOT IV,0,18,6,"9,9,3,3"
366763450,1072784,WCY9454,Z_THREE,52,29,10,"8,21,7,3"
306258000,8520757,PJAO,VICTORIA CLIPPER,60,40,10,"30,10,5,5"
316005651,0,,WESTMINSTER PRIDE,52,15,8,"7,8,5,3"
367125630,973006,WCZ4949,BERING_PROWLER,0,53,12,"45,8,6,6"
367128880,8424173,WDD3319,ISLAND STAR,31,36,9,"9,27,6,3"
367301480,0,WDD8681,VALOR,31,8,8,"5,3,3,5"
352506000,9444273,3EPU5,MOL PRESENCE,71,293,40,"220,73,28,12"
316001264,0,CYMW,QUEEN OF VANCOUVER,60,168,27,"34,134,14,13"
366998510,7717626,WDC2845,LIBERTY,52,29,10,"13,16,5,5"
366773040,0,WSD3625,ISSAQUAH WSF,60,100,24,"20,80,12,12"
366758000,7617905,KRGB,HORIZON ENTERPRISE,70,247,28,"187,60,18,10"
368560000,0,WCX4044,CHANDALAR,30,22,7,"9,13,4,3"
303233000,0,WSM5364,ALASKA MARINER,32,37,8,"10,27,4,4"
367618000,7417379,WCT3784,CF CAMPBELL,52,32,10,"10,22,8,2"
366709780,0,WYX2004,SPOKANE WSF,60,130,28,"18,112,14,14"
211820000,9299032,DCGL2,CAP SARAY,74,206,29,"16,190,15,14"
351658000,9149732,3FUE7,AURORA ACE,70,158,26,"133,25,9,17"
367137390,0,WDD3874,ARROW 2,50,16,4,"10,6,3,1"
366710820,0,WAK7089,SEALTH,60,100,20,"33,67,11,9"
412280000,9160255,BORN,HUANG SHAN HAI,70,225,32,"192,33,16,16"
368293000,436829310,KRCT,ALASKA OCEAN,30,124,20,"41,83,11,9"
316011515,303174162,CGBP,WOLF,35,33,8,"11,22,4,4"
366987080,8063,WDC2055,LITEWEIGHT,31,19,8,"6,13,4,4"
303297000,7200219,WCN3590,MANFRED   NYSTROM,52,0,0,"0,0,0,0"
367058210,6728018,WDC6588,ISLAND SCOUT,52,33,10,"10,23,2,8"
366882320,7045982,WDB3005,ERNEST    CAMPBELL,31,32,10,"10,22,1,9"
316003665,0,,SEASPAN CRUSADER,0,0,0,"0,0,0,0"
316009841,0,,SMIT ACE,52,10,6,"3,7,3,3"
211205780,8711368,DGNB,BONN EXPRESS,71,235,32,"5,230,16,16"
316005715,9072408,,SEASPAN HAWK,52,22,9,"11,11,5,4"
338974000,8310097,NBBQ,SAMUEL L COBB,80,188,28,"153,35,17,11"
369642000,7029706,WDC5701,HUNTER D,52,31,10,"10,21,4,6"
367152220,8963698,WDD4996,SPIRIT OF ENDEAVOUR,60,61,12,"11,50,11,1"
367309220,8115980,WDD9268,ALTAIR,32,31,12,"11,20,6,6"
259833000,9232931,LAGV7,SKS_SINNI,80,0,0,"0,0,0,0"
366989380,0,WDC2198,MARE ISLAND,60,41,12,"18,23,5,7"
477560700,9278765,VRAI5,KANG YU,70,189,32,"172,17,22,10"
352508000,9233985,H9PL,OCEAN KING,70,190,31,"159,31,21,10"
538002547,9371799,V7JN5,RM PIONEER,70,190,32,"190,0,32,0"
367165560,915332900,WDD5907,RESOLUTE,52,0,0,"0,0,0,0"
303643000,0,WCQ2172,JENNIFER A,30,34,10,"7,27,8,2"
366962000,9131369,WDD7294,MISSISSIPPI VOYAGER,81,190,32,"154,36,14,18"
366828880,0,WDA6117,LILLI ANN,0,43,9,"24,19,5,4"
351308000,9162409,3FLX7,GLOBAL FORWARDER,70,160,26,"136,24,10,16"
316003666,0,,SEASPAN CUTLASS,32,24,8,"8,16,6,2"
316001252,815254,VG2029,QUEEN OF CUMBERLAND,60,96,22,"52,44,11,11"
369888000,8835114,WTDH,OKEANOS EXPLORER,33,69,12,"21,48,4,8"
367047270,0,WDC5845,LIBERTY,31,34,12,"12,22,5,7"
367032060,8132720,WDC4873,ALSEA,0,37,13,"9,28,6,7"
366808340,0,WDA4337,PILOTBOAT CALIFORNIA,50,33,6,"13,20,3,3"
366969450,0,WBC6570,BETTY L,52,18,7,"0,18,0,7"
538090365,9421843,V7PX5,KING ROBERT,70,290,45,"248,42,17,28"
367373550,0,WDE5937,M/V DISCOVERY,37,31,6,"19,12,3,3"
367497000,0,WDE3280,AMERICA,31,0,0,"0,0,0,0"
316005593,8137043,CY2747,MERCER STRAITS,52,26,7,"20,6,6,1"
366794000,8419154,KGTY,HORIZON TACOMA,79,217,24,"108,109,12,12"
372248000,9166900,3EHU5,YUAN ZI,70,225,32,"196,29,20,12"
316001221,0,CZ5425,ISLAND CROWN,52,23,7,"7,16,1,6"
636010804,9149213,ELUZ2,BARENTS SEA,89,183,32,"153,30,18,14"
366982330,7531840,WDB9763,PT VICENTE,90,32,11,"15,17,5,6"
366365000,7334204,KHRC,MATSONIA,0,234,32,"154,80,16,16"
352622000,8412986,3FTQ3,CYGNUS,79,190,32,"47,143,16,16"
351381000,9157442,3FMY7,BRIGHT STATE,70,138,24,"121,17,16,8"
987654321,789456,,,255,350,35,"300,50,20,15"
369279000,9270995,WDB4055,HOS GEMSTONE,70,0,0,"0,0,0,0"
477593300,8801022,VRCD5,M/V YUN TONG HAI,70,225,32,"188,37,22,10"
367137380,0,WDD3873,LEWISTON,31,27,8,"10,17,6,2"
304909000,9356414,V2BS2,BBC TRINIDAD,70,132,16,"124,8,7,9"
316005729,5212385,,C.H. CATES X,52,18,7,"9,9,4,3"
367063680,0,WDC6944,RED BLUFF,31,0,0,"0,0,0,0"
367149030,0,WDD4784,LESCHI,51,33,8,"11,22,4,4"
369567000,9275878,WEOB,SEA RELIANCE,89,180,23,"154,26,12,11"
477994400,9300910,VRAW8,FORTUNE SPIRIT,70,180,29,"145,35,20,9"
310467000,9274094,ZCDL3,STENA COMPASS,80,228,32,"193,35,16,16"
538003031,9329760,V7NW5,FR8 PRIDE,84,228,32,"188,40,11,21"
366053209,0,WCZ5435,DREDGE NJORD,90,50,25,"43,7,23,2"
367005420,0,WDC3297,ALKI,51,39,9,"10,29,3,6"
366993160,0,WDA2760,GLEN COVE,31,33,9,"9,24,5,4"
367978000,8834407,NMRY,GOLDEN BEAR,0,152,22,"39,113,9,13"
366857000,7932202,WBWK,MOKU PAHU,79,209,25,"179,30,13,12"
369001000,0,WDA7384,CAPE  FLATTERY,54,60,16,"10,50,8,8"
366562000,7907984,KDBG,MANOA,70,261,44,"34,227,22,22"
367001840,303174162,WDC3035,WESTERN COMET,52,39,10,"0,39,0,10"
477214700,9300805,VRBX7,OOCL EUROPE,70,323,43,"246,77,28,15"
316002059,12345678,CFL9803,GENERAL JACKSON,52,21,4,"8,13,1,3"
367330510,9507879,WDE2845,PATRICIA ANN,52,24,12,"12,12,6,6"
366902860,9059999,WBU5459,VICTORIA CLIPPER IV,60,36,10,"10,26,5,5"
316115000,6717760,CGBW,VECTOR,0,40,9,"11,29,7,2"
353954000,9072147,3FMS4,RIVER ELEGANCE,71,276,32,"213,63,16,16"
316001235,0,CZ3072,KLITSA,60,52,14,"26,26,7,7"
316003678,6503731,,SEASPAN QUEEN,32,27,9,"11,16,3,6"
366998490,507652,WDC2844,GRIZZLY,52,30,9,"13,17,5,4"
366208000,794462100,WDB9556,PAVLOF,30,55,9,"36,19,8,1"
366978720,1092296,WCZ8082,MILLENIUM FALCON,52,35,11,"12,23,6,5"
366738920,0,WYC3746,LISA_MELINDA,30,25,10,"10,15,5,5"
316003663,7434779,,SEASPAN CORSAIR,32,24,8,"5,19,6,2"
366969980,0,WZC8518,MARIN,60,30,70,"10,20,30,40"
357721000,9104603,HOYY,NORDTIDE,70,186,30,"158,28,11,19"
316009376,812309,CZ9149,FRASER TITAN,33,91,16,"60,31,8,8"
319894000,9233741,ZCIJ2,NELL JACOB,80,274,48,"235,39,21,27"
0,0,WCX7886,TUG LONE STAR STATE,31,12,6,"5,7,3,3"
636090587,9222974,A8AW2,CSCL KOBE,70,277,40,"185,92,20,20"
366982320,1120418,WDB9762,MARSHALL FOSS,31,28,12,"11,17,6,6"
357316000,9266475,HOWS,SILVER LINING,80,180,32,"150,30,22,10"
825675000,0,,MAI TAI TAI,37,33,4,"8,25,1,3"
366806940,0,WDA4208,VALHALLA,0,81,24,"23,58,4,20"
356105000,9317755,3EAS6,PORT STAR,70,176,29,"155,21,16,13"
303267000,6421086,WNGW,TUSTUMENA,69,90,18,"30,60,14,4"
563808000,9240578,S6AS8,DONG HAI BRIDGE,70,269,32,"207,62,30,2"
367003380,9233167,WDC3786,JEAN ANNE,70,176,31,"37,139,26,5"
367309320,6407834,WDD9277,JOHN BRIX,32,45,12,"12,33,6,6"
